Date,Open,High,Low,Close,Adj Close,Volume
1/3/2017,33.09,33.98,30.15,32.880001,32.880001,0
1/4/2017,34.16,34.16,31.93,32.360001,32.360001,0
1/5/2017,32.360001,32.669998,31.01,31.559999,31.559999,0
1/6/2017,31.629999,32.860001,30.32,30.469999,30.469999,0
1/9/2017,31.99,33.919998,31.73,33.73,33.73,0
1/10/2017,33.73,34.330002,32.610001,33.610001,33.610001,0
1/11/2017,33.610001,35.52,32.740002,32.950001,32.950001,0
1/12/2017,41.82,42.41,32.139999,32.369999,32.369999,0
1/13/2017,32.419998,33.290001,30.35,30.73,30.73,0
1/17/2017,30.33,31.379999,29.469999,31.25,31.25,0
1/18/2017,31.25,32.259998,30.719999,31.24,31.24,0
1/19/2017,31.440001,32.23,30.879999,30.879999,30.879999,0
1/20/2017,30.879999,30.879999,29.190001,29.190001,29.190001,0
1/23/2017,29.190001,32.310001,29.190001,30.790001,30.790001,0
1/24/2017,30.790001,30.790001,29.209999,29.59,29.59,0
1/25/2017,35.990002,35.990002,30.110001,30.41,30.41,0
1/26/2017,30.59,30.59,29.219999,29.59,29.59,0
1/27/2017,29.59,31.379999,29.059999,29.780001,29.780001,0
1/30/2017,29.780001,31.84,29.780001,30.940001,30.940001,0
1/31/2017,30.940001,31.559999,29.98,31.33,31.33,0
2/1/2017,31.58,32.490002,28.9,30.65,30.65,0
2/2/2017,30.65,32.790001,29.23,29.389999,29.389999,0
2/3/2017,29.389999,29.950001,28.049999,28.110001,28.110001,0
2/6/2017,28.110001,30.120001,28.110001,29.370001,29.370001,0
2/7/2017,29.370001,30.17,29.01,29.610001,29.610001,0
2/8/2017,30.209999,30.66,29.030001,29.09,29.09,0
2/9/2017,29.25,29.290001,28.09,28.25,28.25,0
2/10/2017,28.25,28.25,26.15,26.43,26.43,0
2/13/2017,26.43,27.57,26.43,26.99,26.99,0
2/14/2017,27.9,28.040001,26.940001,27.49,27.49,0
2/15/2017,28.59,29.16,26.83,27.75,27.75,0
2/16/2017,27.75,28.49,27.15,27.370001,27.370001,0
2/17/2017,27.530001,27.9,24.879999,25.290001,25.290001,0
2/21/2017,25.290001,28.209999,25.290001,25.790001,25.790001,0
2/22/2017,25.790001,30.389999,25.790001,27.09,27.09,0
2/23/2017,25.91,27.34,25.360001,25.790001,25.790001,0
2/24/2017,25.790001,27.030001,25.52,25.719999,25.719999,0
2/27/2017,25.719999,27.549999,24.790001,25.01,25.01,0
2/28/2017,25.969999,26.530001,25.34,25.459999,25.459999,0
3/1/2017,27.469999,27.700001,24.51,24.67,24.67,0
3/2/2017,25.280001,26.01,24.879999,25.940001,25.940001,0
3/3/2017,25.940001,26.299999,25.030001,25.59,25.59,0
3/6/2017,25.59,27.48,25.59,26.959999,26.959999,0
3/7/2017,26.940001,27,25.99,26.459999,26.459999,0
3/8/2017,28.049999,33.16,26.59,31.74,31.74,0
3/9/2017,32.439999,34.48,31.27,31.98,31.98,0
3/10/2017,30.77,34.110001,30.66,33.450001,33.450001,0
