DATE,WLEMUINDXD
2017-01-01,170.26000
2017-01-02,15.89000
2017-01-03,24.40000
2017-01-04,17.46000
2017-01-05,84.05000
2017-01-06,7.07000
2017-01-07,32.15000
2017-01-08,66.65000
2017-01-09,45.66000
2017-01-10,21.34000
2017-01-11,45.10000
2017-01-12,5.31000
2017-01-13,127.10000
2017-01-14,10.49000
2017-01-15,85.55000
2017-01-16,41.34000
2017-01-17,145.98000
2017-01-18,16.18000
2017-01-19,5.23000
2017-01-20,53.09000
2017-01-21,29.13000
2017-01-22,95.60000
2017-01-23,59.46000
2017-01-24,27.50000
2017-01-25,5.35000
2017-01-26,19.13000
2017-01-27,24.45000
2017-01-28,52.56000
2017-01-29,36.90000
2017-01-30,17.26000
2017-01-31,15.24000
2017-02-01,27.34000
2017-02-02,9.94000
2017-02-03,18.80000
2017-02-04,9.70000
2017-02-05,36.97000
2017-02-06,35.20000
2017-02-07,13.90000
2017-02-08,5.48000
2017-02-09,25.02000
2017-02-10,12.65000
2017-02-11,20.12000
2017-02-12,37.06000
2017-02-13,9.29000
2017-02-14,34.30000
2017-02-15,11.02000
2017-02-16,5.08000
2017-02-17,100.31000
2017-02-18,19.96000
2017-02-19,8.77000
2017-02-20,8.26000
2017-02-21,27.86000
2017-02-22,58.98000
2017-02-23,4.94000
2017-02-24,6.19000
2017-02-25,18.40000
2017-02-26,25.89000
2017-02-27,18.13000
2017-02-28,20.93000
2017-03-01,16.02000
2017-03-02,15.18000
2017-03-03,23.94000
2017-03-04,29.29000
2017-03-05,26.65000
2017-03-06,9.44000
2017-03-07,20.76000
2017-03-08,16.34000
2017-03-09,21.77000
2017-03-10,5.95000
2017-03-11,30.21000
2017-03-12,9.18000
2017-03-13,8.24000
2017-03-14,99.89000
2017-03-15,15.90000
2017-03-16,20.87000
2017-03-17,6.33000
2017-03-18,10.42000
2017-03-19,8.96000
2017-03-20,101.07000
2017-03-21,21.68000
2017-03-22,5.40000
2017-03-23,10.65000
2017-03-24,12.99000
2017-03-25,10.88000
2017-03-26,8.92000
2017-03-27,8.73000
2017-03-28,6.73000
2017-03-29,10.29000
2017-03-30,5.11000
2017-03-31,5.99000
2017-04-01,10.54000
2017-04-02,9.20000
2017-04-03,50.65000
2017-04-04,6.50000
2017-04-05,4.94000
2017-04-06,15.45000
2017-04-07,17.26000
2017-04-08,53.49000
2017-04-09,72.98000
2017-04-10,9.12000
2017-04-11,7.33000
2017-04-12,10.98000
2017-04-13,9.80000
2017-04-14,43.77000
2017-04-15,10.85000
2017-04-16,19.00000
2017-04-17,108.62000
2017-04-18,53.55000
