DATE,DFF
1/1/17,0.55
1/2/17,0.55
1/3/17,0.66
1/4/17,0.66
1/5/17,0.66
1/6/17,0.66
1/7/17,0.66
1/8/17,0.66
1/9/17,0.66
1/10/17,0.66
1/11/17,0.66
1/12/17,0.66
1/13/17,0.66
1/14/17,0.66
1/15/17,0.66
1/16/17,0.66
1/17/17,0.66
1/18/17,0.66
1/19/17,0.66
1/20/17,0.66
1/21/17,0.66
1/22/17,0.66
1/23/17,0.66
1/24/17,0.66
1/25/17,0.66
1/26/17,0.66
1/27/17,0.66
1/28/17,0.66
1/29/17,0.66
1/30/17,0.66
1/31/17,0.56
2/1/17,0.66
2/2/17,0.66
2/3/17,0.66
2/4/17,0.66
2/5/17,0.66
2/6/17,0.66
2/7/17,0.66
2/8/17,0.66
2/9/17,0.66
2/10/17,0.66
2/11/17,0.66
2/12/17,0.66
2/13/17,0.66
2/14/17,0.66
2/15/17,0.66
2/16/17,0.66
2/17/17,0.66
2/18/17,0.66
2/19/17,0.66
2/20/17,0.66
2/21/17,0.66
2/22/17,0.66
2/23/17,0.66
2/24/17,0.66
2/25/17,0.66
2/26/17,0.66
2/27/17,0.66
2/28/17,0.57
3/1/17,0.66
3/2/17,0.66
3/3/17,0.66
3/4/17,0.66
3/5/17,0.66
3/6/17,0.66
3/7/17,0.66
3/8/17,0.66
3/9/17,0.66
3/10/17,0.66
3/11/17,0.66
3/12/17,0.66
3/13/17,0.66
3/14/17,0.66
3/15/17,0.66
3/16/17,0.91
3/17/17,0.91
3/18/17,0.91
3/19/17,0.91
3/20/17,0.91
3/21/17,0.91
3/22/17,0.91
3/23/17,0.91
3/24/17,0.91
3/25/17,0.91
3/26/17,0.91
3/27/17,0.91
3/28/17,0.91
3/29/17,0.91
3/30/17,0.91
3/31/17,0.82
4/1/17,0.82
4/2/17,0.82
4/3/17,0.91
4/4/17,0.91
4/5/17,0.91
4/6/17,0.91
4/7/17,0.91
4/8/17,0.91
4/9/17,0.91
4/10/17,0.91
4/11/17,0.91
4/12/17,0.91
4/13/17,0.91
4/14/17,0.91
4/15/17,0.91
4/16/17,0.91
4/17/17,0.91
4/18/17,0.91
4/19/17,0.91
4/20/17,0.91
4/21/17,0.91
4/22/17,0.91
4/23/17,0.91
4/24/17,0.91
4/25/17,0.91
4/26/17,0.91
4/27/17,0.91
4/28/17,0.83
4/29/17,0.83
4/30/17,0.83
5/1/17,0.91
5/2/17,0.91
5/3/17,0.91
5/4/17,0.91
5/5/17,0.91
5/6/17,0.91
5/7/17,0.91
5/8/17,0.91
5/9/17,0.91
5/10/17,0.91
5/11/17,0.91
5/12/17,0.91
5/13/17,0.91
5/14/17,0.91
5/15/17,0.91
5/16/17,0.91
5/17/17,0.91
5/18/17,0.91
5/19/17,0.91
5/20/17,0.91
5/21/17,0.91
5/22/17,0.91
5/23/17,0.91
5/24/17,0.91
5/25/17,0.91
5/26/17,0.91
5/27/17,0.91
5/28/17,0.91
5/29/17,0.91
5/30/17,0.91
5/31/17,0.83
6/1/17,0.91
6/2/17,0.91
6/3/17,0.91
6/4/17,0.91
6/5/17,0.91
6/6/17,0.91
6/7/17,0.91
6/8/17,0.91
6/9/17,0.91
6/10/17,0.91
6/11/17,0.91
6/12/17,0.91
6/13/17,0.91
6/14/17,0.91
6/15/17,1.16
6/16/17,1.16
6/17/17,1.16
6/18/17,1.16
6/19/17,1.16
6/20/17,1.16
6/21/17,1.16
6/22/17,1.16
6/23/17,1.16
6/24/17,1.16
6/25/17,1.16
6/26/17,1.16
6/27/17,1.16
6/28/17,1.16
6/29/17,1.16
6/30/17,1.06
7/1/17,1.06
7/2/17,1.06
7/3/17,1.16
7/4/17,1.16
7/5/17,1.16
7/6/17,1.16
7/7/17,1.16
7/8/17,1.16
7/9/17,1.16
7/10/17,1.16
7/11/17,1.16
7/12/17,1.16
7/13/17,1.16
7/14/17,1.16
7/15/17,1.16
7/16/17,1.16
7/17/17,1.16
7/18/17,1.16
7/19/17,1.16
7/20/17,1.16
7/21/17,1.16
7/22/17,1.16
7/23/17,1.16
7/24/17,1.16
7/25/17,1.16
7/26/17,1.16
7/27/17,1.16
7/28/17,1.16
7/29/17,1.16
7/30/17,1.16
7/31/17,1.07
8/1/17,1.16
8/2/17,1.16
8/3/17,1.16
8/4/17,1.16
8/5/17,1.16
8/6/17,1.16
8/7/17,1.16
8/8/17,1.16
8/9/17,1.16
8/10/17,1.16
8/11/17,1.16
8/12/17,1.16
8/13/17,1.16
8/14/17,1.16
8/15/17,1.16
8/16/17,1.16
8/17/17,1.16
8/18/17,1.16
8/19/17,1.16
8/20/17,1.16
8/21/17,1.16
8/22/17,1.16
8/23/17,1.16
8/24/17,1.16
8/25/17,1.16
8/26/17,1.16
8/27/17,1.16
8/28/17,1.16
8/29/17,1.16
8/30/17,1.16
8/31/17,1.07
9/1/17,1.16
9/2/17,1.16
9/3/17,1.16
9/4/17,1.16
9/5/17,1.16
9/6/17,1.16
9/7/17,1.16
9/8/17,1.16
9/9/17,1.16
9/10/17,1.16
9/11/17,1.16
9/12/17,1.16
9/13/17,1.16
9/14/17,1.16
9/15/17,1.16
9/16/17,1.16
9/17/17,1.16
9/18/17,1.16
9/19/17,1.16
9/20/17,1.16
9/21/17,1.16
