DATE,STLFSI3
2016-12-30,-0.1432
2017-01-06,-0.1629
2017-01-13,-0.1972
2017-01-20,-0.2130
2017-01-27,-0.3338
2017-02-03,-0.2524
2017-02-10,-0.2467
2017-02-17,-0.4445
2017-02-24,-0.2933
2017-03-03,-0.5077
2017-03-10,-0.5367
2017-03-17,-0.4504
2017-03-24,-0.2389
2017-03-31,-0.4660
2017-04-07,-0.4187
2017-04-14,-0.2809
2017-04-21,-0.2630
2017-04-28,-0.6794
2017-05-05,-0.5594
2017-05-12,-0.6646
2017-05-19,-0.4404
2017-05-26,-0.6756
2017-06-02,-0.6053
2017-06-09,-0.7205
2017-06-16,-0.7275
2017-06-23,-0.4862
2017-06-30,-0.6069
2017-07-07,-0.6774
2017-07-14,-0.5801
2017-07-21,-0.6803
2017-07-28,-0.7671
2017-08-04,-0.6317
2017-08-11,-0.4790
2017-08-18,-0.4587
2017-08-25,-0.4801
2017-09-01,-0.5274
2017-09-08,-0.4196
2017-09-15,-0.7604
2017-09-22,-0.7911
2017-09-29,-0.7055
2017-10-06,-0.7651
2017-10-13,-0.6929
2017-10-20,-0.7658
2017-10-27,-0.8043
2017-11-03,-0.6893
2017-11-10,-0.6835
2017-11-17,-0.7057
2017-11-24,-0.8399
2017-12-01,-0.8152
2017-12-08,-0.7423
2017-12-15,-0.7041
2017-12-22,-0.7394
2017-12-29,-0.5750
2018-01-05,-0.7303
2018-01-12,-0.8143
2018-01-19,-0.7492
2018-01-26,-0.7590
2018-02-02,-0.6185
2018-02-09,0.0215
2018-02-16,-0.3691
2018-02-23,-0.4947
2018-03-02,-0.1859
2018-03-09,-0.2538
2018-03-16,-0.1817
2018-03-23,0.0474
2018-03-30,0.1506
2018-04-06,0.1192
2018-04-13,-0.0886
2018-04-20,-0.3149
2018-04-27,-0.2680
2018-05-04,-0.1509
2018-05-11,-0.4113
2018-05-18,-0.4923
2018-05-25,-0.3571
2018-06-01,0.0162
2018-06-08,-0.5927
2018-06-15,-0.4842
2018-06-22,-0.4011
2018-06-29,-0.1699
2018-07-06,-0.6612
2018-07-13,-0.8928
2018-07-20,-0.9034
2018-07-27,-0.9924
2018-08-03,-0.8456
2018-08-10,-0.9076
2018-08-17,-0.7158
2018-08-24,-0.9037
2018-08-31,-0.9758
2018-09-07,-0.8807
2018-09-14,-1.0096
2018-09-21,-1.1377
2018-09-28,-1.0771
2018-10-05,-1.1364
2018-10-12,-0.7764
2018-10-19,-0.8712
2018-10-26,-0.5937
2018-11-02,-0.6588
2018-11-09,-0.9773
2018-11-16,-0.4208
2018-11-23,-0.4003
2018-11-30,-0.6589
2018-12-07,-0.2729
2018-12-14,-0.2544
2018-12-21,0.0911
2018-12-28,0.2221
2019-01-04,-0.0787
2019-01-11,-0.6163
2019-01-18,-0.4960
2019-01-25,-0.3901
2019-02-01,-0.3379
2019-02-08,-0.4519
2019-02-15,-0.4910
2019-02-22,-0.5893
2019-03-01,-0.6134
2019-03-08,-0.4335
2019-03-15,-0.5085
2019-03-22,-0.5162
2019-03-29,-0.1514
2019-04-05,-0.6619
2019-04-12,-0.5989
2019-04-19,-0.7249
2019-04-26,-0.5213
2019-05-03,-0.5596
2019-05-10,-0.2080
2019-05-17,-0.1326
2019-05-24,-0.2595
2019-05-31,0.1205
2019-06-07,0.1259
2019-06-14,-0.0993
2019-06-21,0.1170
2019-06-28,0.1681
2019-07-05,-0.1093
2019-07-12,-0.1060
2019-07-19,0.1013
2019-07-26,-0.0037
2019-08-02,0.2713
2019-08-09,0.9217
2019-08-16,0.8280
2019-08-23,0.4461
2019-08-30,0.4775
2019-09-06,0.3427
2019-09-13,-0.0636
2019-09-20,0.2394
2019-09-27,0.6468
2019-10-04,0.9175
2019-10-11,0.6342
2019-10-18,0.2686
2019-10-25,0.3219
2019-11-01,0.4106
2019-11-08,0.3034
2019-11-15,0.2521
2019-11-22,0.3051
2019-11-29,0.0425
2019-12-06,0.1313
2019-12-13,-0.1276
2019-12-20,-0.3679
2019-12-27,-0.2547
2020-01-03,-0.2331
2020-01-10,-0.3150
2020-01-17,-0.4946
2020-01-24,-0.3315
2020-01-31,0.0040
2020-02-07,-0.3996
2020-02-14,-0.4577
2020-02-21,-0.2826
2020-02-28,1.0784
2020-03-06,2.4611
2020-03-13,4.7858
2020-03-20,6.2906
2020-03-27,5.7174
2020-04-03,3.2012
2020-04-10,2.4721
2020-04-17,1.8984
2020-04-24,2.4999
2020-05-01,1.5635
2020-05-08,1.3938
2020-05-15,1.3188
2020-05-22,0.7225
2020-05-29,0.3253
2020-06-05,-0.0923
2020-06-12,0.2427
2020-06-19,0.3966
2020-06-26,0.4468
2020-07-03,0.3495
2020-07-10,0.1084
2020-07-17,0.0744
2020-07-24,-0.1720
2020-07-31,-0.0187
2020-08-07,-0.1273
2020-08-14,-0.2860
2020-08-21,-0.0056
2020-08-28,-0.2239
2020-09-04,-0.0367
2020-09-11,0.1270
2020-09-18,-0.0882
2020-09-25,0.3137
2020-10-02,-0.0674
2020-10-09,-0.2527
2020-10-16,-0.0353
2020-10-23,-0.0176
2020-10-30,0.4135
2020-11-06,-0.0761
2020-11-13,-0.5594
2020-11-20,-0.1358
2020-11-27,-0.3571
2020-12-04,-0.4307
2020-12-11,-0.3409
2020-12-18,-0.2893
2020-12-25,-0.3460
2021-01-01,-0.4552
2021-01-08,-0.4911
2021-01-15,-0.5291
2021-01-22,-0.4730
2021-01-29,-0.1553
2021-02-05,-0.5166
2021-02-12,-0.6651
2021-02-19,-0.5743
2021-02-26,-0.3750
2021-03-05,-0.3195
2021-03-12,-0.4440
2021-03-19,-0.4739
2021-03-26,-0.4493
2021-04-02,-0.6157
2021-04-09,-0.6746
2021-04-16,-0.6299
2021-04-23,-0.5796
2021-04-30,-0.7317
2021-05-07,-0.7129
2021-05-14,-0.6766
2021-05-21,-0.6186
2021-05-28,-0.6945
2021-06-04,-0.7618
2021-06-11,-0.6826
2021-06-18,-0.6683
2021-06-25,-0.7515
2021-07-02,-0.7753
2021-07-09,-0.5865
2021-07-16,-0.7436
2021-07-23,-0.4412
2021-07-30,-0.6892
2021-08-06,-0.5932
2021-08-13,-0.8572
2021-08-20,-0.5173
2021-08-27,-0.7366
