DATE,BAMLH0A0HYM2
2017-01-03,4.13
2017-01-04,4.02
2017-01-05,4.04
2017-01-06,3.98
2017-01-09,4.02
2017-01-10,4
2017-01-11,4.03
2017-01-12,4.05
2017-01-13,4.02
2017-01-16,4
2017-01-17,4.06
2017-01-18,4.01
2017-01-19,3.99
2017-01-20,4.02
2017-01-23,4.1
2017-01-24,4.02
2017-01-25,3.93
2017-01-26,3.93
2017-01-27,3.93
2017-01-30,3.96
2017-01-31,4
2017-02-01,3.95
2017-02-02,3.93
2017-02-03,3.86
2017-02-06,3.91
2017-02-07,3.93
2017-02-08,3.98
2017-02-09,3.93
2017-02-10,3.9
2017-02-13,3.86
2017-02-14,3.8
2017-02-15,3.77
2017-02-16,3.83
2017-02-17,3.86
2017-02-20,3.86
2017-02-21,3.81
2017-02-22,3.78
2017-02-23,3.77
2017-02-24,3.84
2017-02-27,3.75
2017-02-28,3.74
2017-03-01,3.57
2017-03-02,3.55
2017-03-03,3.6
2017-03-06,3.66
2017-03-07,3.73
2017-03-08,3.79
2017-03-09,3.88
2017-03-10,3.89
2017-03-13,3.94
2017-03-14,4.05
2017-03-15,4.02
2017-03-16,3.88
2017-03-17,3.91
2017-03-20,3.97
2017-03-21,4.04
2017-03-22,4.16
2017-03-23,4.11
2017-03-24,4.07
2017-03-27,4.12
2017-03-28,4.01
2017-03-29,3.94
2017-03-30,3.85
2017-03-31,3.92
2017-04-03,3.98
2017-04-04,3.98
2017-04-05,3.91
2017-04-06,3.93
2017-04-07,3.86
2017-04-10,3.86
2017-04-11,3.94
2017-04-12,3.96
2017-04-13,4.03
2017-04-14,.
2017-04-17,4
2017-04-18,4.07
2017-04-19,4.01
2017-04-20,3.98
2017-04-21,3.97
2017-04-24,3.86
2017-04-25,3.78
2017-04-26,3.76
2017-04-27,3.78
2017-04-28,3.75
2017-04-30,3.81
2017-05-01,3.78
2017-05-02,3.79
2017-05-03,3.76
2017-05-04,3.8
2017-05-05,3.82
2017-05-08,3.8
2017-05-09,3.74
2017-05-10,3.72
2017-05-11,3.72
2017-05-12,3.77
2017-05-15,3.72
2017-05-16,3.71
2017-05-17,3.84
2017-05-18,3.85
2017-05-19,3.78
2017-05-22,3.72
2017-05-23,3.67
2017-05-24,3.68
2017-05-25,3.67
2017-05-26,3.67
2017-05-29,3.67
2017-05-30,3.68
2017-05-31,3.74
2017-06-01,3.69
2017-06-02,3.69
2017-06-05,3.68
2017-06-06,3.72
2017-06-07,3.73
2017-06-08,3.76
2017-06-09,3.73
2017-06-12,3.71
2017-06-13,3.68
2017-06-14,3.7
2017-06-15,3.72
2017-06-16,3.76
2017-06-19,3.7
2017-06-20,3.77
2017-06-21,3.85
2017-06-22,3.87
2017-06-23,3.86
2017-06-26,3.83
2017-06-27,3.77
2017-06-28,3.77
2017-06-29,3.76
2017-06-30,3.77
2017-07-03,3.72
2017-07-04,3.72
2017-07-05,3.73
2017-07-06,3.78
2017-07-07,3.83
2017-07-10,3.83
2017-07-11,3.85
2017-07-12,3.81
2017-07-13,3.77
2017-07-14,3.73
2017-07-17,3.69
2017-07-18,3.69
2017-07-19,3.64
2017-07-20,3.61
2017-07-21,3.64
2017-07-24,3.63
2017-07-25,3.55
2017-07-26,3.56
2017-07-27,3.55
2017-07-28,3.59
