DATE,ICSA
2017-01-07,245000
2017-01-14,240000
2017-01-21,250000
2017-01-28,241000
2017-02-04,230000
2017-02-11,233000
2017-02-18,237000
2017-02-25,221000
2017-03-04,236000
2017-03-11,228000
2017-03-18,235000
2017-03-25,236000
2017-04-01,216000
2017-04-08,222000
2017-04-15,231000
2017-04-22,238000
2017-04-29,232000
2017-05-06,233000
2017-05-13,234000
2017-05-20,236000
2017-05-27,253000
2017-06-03,251000
2017-06-10,245000
2017-06-17,249000
2017-06-24,247000
2017-07-01,256000
2017-07-08,259000
2017-07-15,245000
2017-07-22,249000
2017-07-29,245000
2017-08-05,254000
2017-08-12,245000
2017-08-19,245000
2017-08-26,247000
2017-09-02,297000
2017-09-09,280000
2017-09-16,261000
2017-09-23,264000
2017-09-30,260000
2017-10-07,252000
2017-10-14,235000
2017-10-21,241000
2017-10-28,241000
2017-11-04,248000
2017-11-11,254000
2017-11-18,246000
2017-11-25,243000
2017-12-02,241000
2017-12-09,229000
2017-12-16,244000
2017-12-23,251000
2017-12-30,248000
2018-01-06,252000
2018-01-13,224000
2018-01-20,227000
2018-01-27,223000
2018-02-03,213000
2018-02-10,213000
2018-02-17,206000
2018-02-24,202000
2018-03-03,212000
2018-03-10,204000
2018-03-17,198000
2018-03-24,197000
2018-03-31,205000
2018-04-07,210000
2018-04-14,218000
2018-04-21,191000
2018-04-28,200000
2018-05-05,204000
2018-05-12,220000
2018-05-19,231000
2018-05-26,224000
2018-06-02,229000
2018-06-09,230000
2018-06-16,228000
2018-06-23,233000
2018-06-30,241000
2018-07-07,232000
2018-07-14,219000
2018-07-21,224000
2018-07-28,222000
2018-08-04,228000
2018-08-11,224000
2018-08-18,221000
2018-08-25,225000
2018-09-01,211000
2018-09-08,217000
2018-09-15,214000
2018-09-22,214000
2018-09-29,221000
2018-10-06,221000
2018-10-13,218000
2018-10-20,226000
2018-10-27,225000
2018-11-03,227000
2018-11-10,228000
2018-11-17,234000
2018-11-24,244000
2018-12-01,240000
2018-12-08,209000
2018-12-15,219000
2018-12-22,230000
2018-12-29,237000
2019-01-05,222000
2019-01-12,211000
2019-01-19,205000
2019-01-26,227000
2019-02-02,220000
2019-02-09,213000
2019-02-16,199000
2019-02-23,204000
2019-03-02,200000
2019-03-09,201000
2019-03-16,182000
2019-03-23,184000
2019-03-30,173000
2019-04-06,173000
2019-04-13,183000
2019-04-20,200000
2019-04-27,210000
2019-05-04,214000
2019-05-11,210000
2019-05-18,213000
2019-05-25,222000
2019-06-01,229000
2019-06-08,237000
2019-06-15,231000
2019-06-22,242000
2019-06-29,240000
