Effective date ,S&P Cryptocurrency Broad Digital Market Index (USD)
2/28/2017,100
3/1/2017,102.93
3/2/2017,108.62
3/3/2017,108.78
3/6/2017,108.92
3/7/2017,105.78
3/8/2017,98.74
3/9/2017,102.54
3/10/2017,109.4
3/13/2017,110.7
3/14/2017,111.7
3/15/2017,114.09
3/16/2017,111.46
3/17/2017,109.48
3/20/2017,101.91
3/21/2017,107.3
3/22/2017,99.19
3/23/2017,101.76
3/24/2017,100.31
3/27/2017,103.09
3/28/2017,104.05
3/29/2017,106.15
3/30/2017,106.15
3/31/2017,109.15
4/3/2017,113.76
4/4/2017,113.43
4/5/2017,113.31
4/6/2017,115.52
4/7/2017,116.33
4/10/2017,117.75
4/11/2017,118.68
4/12/2017,120.08
4/13/2017,118.2
4/14/2017,118.24
4/17/2017,119.2
4/18/2017,120.44
4/19/2017,120.71
4/20/2017,122.56
4/21/2017,124.04
4/24/2017,126.29
4/25/2017,128.6
4/26/2017,132.32
4/27/2017,137.65
4/28/2017,139.85
5/1/2017,152.2
5/2/2017,156.61
5/3/2017,161.45
5/4/2017,173.29
5/5/2017,173.58
5/8/2017,187.72
5/9/2017,193.03
5/10/2017,197.39
5/11/2017,201.86
5/12/2017,187.52
5/15/2017,196.45
5/16/2017,204.29
5/17/2017,214.71
5/18/2017,218.53
5/19/2017,232.03
5/22/2017,266.55
5/23/2017,274.66
5/24/2017,304.11
5/25/2017,293.57
5/26/2017,280.52
5/29/2017,289.84
5/30/2017,288.63
5/31/2017,301.19
6/1/2017,310.27
6/2/2017,310.61
6/5/2017,342.96
6/6/2017,361.57
6/7/2017,357.89
6/8/2017,353.02
6/9/2017,368.16
6/12/2017,373.21
6/13/2017,407.63
6/14/2017,381.38
6/15/2017,342.41
6/16/2017,374.46
6/19/2017,385.13
6/20/2017,400.52
6/21/2017,367.49
6/22/2017,380.13
6/23/2017,385.73
6/26/2017,300.41
6/27/2017,324.84
6/28/2017,363.23
6/29/2017,357.18
6/30/2017,346.46
7/3/2017,347.07
7/4/2017,346.75
7/5/2017,351.78
7/6/2017,346.45
7/7/2017,329.87
7/10/2017,302.88
7/11/2017,277.82
7/12/2017,304.03
7/13/2017,288.54
7/14/2017,274.03
7/17/2017,260.39
7/18/2017,303.56
7/19/2017,273.71
7/20/2017,323.81
7/21/2017,318.71
7/24/2017,337.16
7/25/2017,298.92
7/26/2017,298.55
7/27/2017,306.7
7/28/2017,314.64
7/31/2017,323.99
8/1/2017,334.22
8/2/2017,325.19
8/3/2017,335.28
8/4/2017,336.76
8/7/2017,396.41
8/8/2017,414.38
8/9/2017,407
8/10/2017,417.06
8/11/2017,422.81
8/14/2017,466.71
8/15/2017,445.99
8/16/2017,472.06
8/17/2017,472.43
8/18/2017,456.39
8/21/2017,467.2
8/22/2017,472.06
8/23/2017,475.95
8/24/2017,487.15
8/25/2017,494.11
8/28/2017,509.43
8/29/2017,538.08
8/30/2017,542.06
8/31/2017,560.73
9/1/2017,580.74
9/4/2017,512.23
9/5/2017,511.58
9/6/2017,533.95
9/7/2017,531.19
9/8/2017,478.62
9/11/2017,478.06
9/12/2017,475
9/13/2017,435.93
9/14/2017,377.69
9/15/2017,418.05
9/18/2017,456.57
9/19/2017,443.7
9/20/2017,448.18
9/21/2017,408.48
9/22/2017,406.33
9/25/2017,448.41
9/26/2017,445.69
9/27/2017,476.28
9/28/2017,469.13
9/29/2017,466.01
10/2/2017,483.32
10/3/2017,469.5
10/4/2017,465.19
10/5/2017,479.89
10/6/2017,481.09
10/9/2017,505.59
10/10/2017,516.28
10/11/2017,516.52
10/12/2017,548.77
10/13/2017,577.14
10/16/2017,593.8
10/17/2017,580.24
10/18/2017,552.37
10/19/2017,571.49
10/20/2017,600.36
10/23/2017,577.93
10/24/2017,574.24
10/25/2017,566.62
10/26/2017,581.93
10/27/2017,572.09
10/30/2017,599.89
10/31/2017,617.94
11/1/2017,630.71
11/2/2017,652.73
11/3/2017,680.62
11/6/2017,668.07
11/7/2017,661.63
11/8/2017,692.3
11/9/2017,692.68
11/10/2017,624.29
11/13/2017,634.96
11/14/2017,662.15
11/15/2017,699.71
11/16/2017,738.64
11/17/2017,735.21
11/20/2017,791.88
11/21/2017,793.32
11/22/2017,794.39
11/23/2017,813.44
11/24/2017,829.86
11/27/2017,947.14
11/28/2017,968.17
11/29/2017,916.27
11/30/2017,924.09
12/1/2017,1038.17
12/4/2017,1089.7
12/5/2017,1113.49
12/6/2017,1204.26
12/7/2017,1357.41
12/8/2017,1333.98
12/11/2017,1521.94
12/12/2017,1590
12/13/2017,1580.85
12/14/2017,1620.36
12/15/2017,1724.49
12/18/2017,1887.83
12/19/2017,1912.02
12/20/2017,1862.2
12/21/2017,1732.11
12/22/2017,1622.23
12/25/2017,1613.06
12/26/2017,1767.29
12/27/2017,1691.21
12/28/2017,1606.25
12/29/2017,1705.03
1/1/2018,1653.4
1/2/2018,1855.82
1/3/2018,1935.2
1/4/2018,1931.22
