Date,Price,Open,High,Low,Vol.,Change %
18-Aug-22,23.38,23.58,23.68,23.13,,16.26%
17-Aug-22,20.11,20,20.75,19.8,1.26K,0.55%
16-Aug-22,20,20.55,20.8,19.95,42.01K,-2.08%
15-Aug-22,20.43,21.35,21.63,20.35,45.41K,-3.59%
12-Aug-22,21.19,21.4,21.65,20.55,49.45K,-1.45%
11-Aug-22,21.5,21.45,22.17,21.1,61.67K,0.70%
10-Aug-22,21.35,22.9,23.1,21.2,72.82K,-7.13%
9-Aug-22,22.99,22.6,23.3,22.55,55.18K,1.46%
8-Aug-22,22.66,22.55,23.15,21.85,64.16K,0.94%
5-Aug-22,22.45,23.2,24,22.35,67.33K,-3.24%
4-Aug-22,23.2,23.25,24,23.1,58.34K,0.16%
3-Aug-22,23.16,24.55,24.78,23,59.70K,-5.88%
2-Aug-22,24.61,24.2,25.25,23.65,81.13K,1.64%
1-Aug-22,24.21,23.35,24.4,23.35,67.66K,3.41%
29-Jul-22,23.42,23.45,23.9,23.3,66.57K,-1.06%
28-Jul-22,23.67,25.05,25.15,23.45,78.77K,-5.33%
27-Jul-22,25,25.7,25.71,24.45,67.27K,-3.67%
26-Jul-22,25.95,25.45,26.35,25.3,72.69K,2.92%
25-Jul-22,25.21,25.6,25.95,25,64.05K,-1.14%
22-Jul-22,25.5,25.95,26.4,25.4,73.26K,-0.93%
21-Jul-22,25.74,26.45,26.75,25.69,65.05K,5.64%
20-Jul-22,24.37,24.7,24.85,24,1.37K,-1.85%
19-Jul-22,24.83,25.55,25.65,24.33,42.66K,-3.39%
18-Jul-22,25.7,25.2,26.13,24.77,47.97K,1.96%
15-Jul-22,25.21,26.9,27.3,25.1,52.69K,-6.18%
14-Jul-22,26.87,27.25,28.65,26.83,65.51K,0.00%
13-Jul-22,26.86,27.4,28.8,26.5,71.57K,-1.91%
12-Jul-22,27.39,27.1,27.86,26.32,54.17K,0.74%
11-Jul-22,27.19,26,27.27,26,52.18K,4.36%
8-Jul-22,26.05,26.85,27.3,25.79,65.65K,-2.98%
7-Jul-22,26.85,27.2,27.55,26.4,54.05K,-1.28%
6-Jul-22,27.2,27.82,28.4,26.95,53.87K,-1.90%
5-Jul-22,27.73,27.8,29.75,27.5,83.94K,0.53%
4-Jul-22,27.58,27.98,28.33,27.53,,-1.61%
3-Jul-22,28.03,27.73,28.03,27.73,,1.23%
1-Jul-22,27.69,28.8,29.65,27.55,74.24K,-3.06%
30-Jun-22,28.56,28.1,29.95,28,80.18K,0.81%
29-Jun-22,28.33,28.55,29.15,28,51.21K,0.00%
28-Jun-22,28.33,27.45,28.6,26.87,64.63K,3.36%
27-Jun-22,27.41,28.29,28.81,27.35,58.67K,-3.74%
24-Jun-22,28.48,29.1,29.2,28,61.86K,-1.83%
23-Jun-22,29.01,29.15,29.8,28.65,69.21K,0.00%
22-Jun-22,29.01,30.1,31.4,28.9,79.03K,-4.33%
21-Jun-22,30.32,30.75,32.1,29.15,85.22K,0.47%
20-Jun-22,30.18,30.61,32.13,30.08,,-1.31%
19-Jun-22,30.58,30.7,30.78,30.48,,-1.04%
17-Jun-22,30.9,32,32.25,30.55,72.69K,-3.19%
16-Jun-22,31.92,29.7,32.75,29.15,106.72K,6.29%
15-Jun-22,30.03,31.8,31.95,28.95,109.62K,-5.60%
14-Jun-22,31.81,32.75,33.05,31.45,112.81K,-3.29%
13-Jun-22,32.89,29.3,33.25,29.1,174.76K,16.28%
10-Jun-22,28.29,26.35,29.35,26.15,83.29K,7.06%
