QUOTE_READTIME,VIX,OVX,WLEMUINDXD,USEPUINDXD,GSCPI,STLFSI3,USD_Index,INF,INFECTDISEMVTRACKD
1/3/2017,12.85,32.880001,24.4,89.85,-0.23,-0.1432,103.209999,5.02078,9.555
1/4/2017,11.85,32.360001,17.46,101.99,-0.23,-0.1432,102.699997,5.02078,46.17
1/5/2017,11.67,31.559999,84.05,134.47,-0.23,-0.1432,101.519997,5.02078,25.725
1/6/2017,11.32,30.469999,7.07,96.97,-0.23,-0.1629,102.220001,5.02078,39.015
1/9/2017,11.56,33.73,45.66,121.76,-0.23,-0.1629,101.93,5.02078,60.615
1/10/2017,11.49,33.610001,21.34,121.9,-0.23,-0.1629,102.010002,5.02078,36.795
1/11/2017,11.26,32.950001,45.1,124.56,-0.23,-0.1629,101.779999,5.02078,34.545
1/12/2017,11.54,32.369999,5.31,113.32,-0.23,-0.1629,101.349998,5.02078,38.205
1/13/2017,11.23,30.73,127.1,135.56,-0.23,-0.1972,101.18,5.02078,29.715
1/17/2017,11.87,31.25,145.98,160.96,-0.23,-0.1972,100.330002,5.02078,37.785
1/18/2017,12.48,31.24,16.18,135.59,-0.23,-0.1972,100.93,5.02078,78.69
1/19/2017,12.78,30.879999,5.23,95.56,-0.23,-0.1972,101.150002,5.02078,102.03
1/20/2017,11.54,29.190001,53.09,141.55,-0.23,-0.213,100.739998,5.02078,56.535
1/23/2017,11.77,30.790001,59.46,154.77,-0.23,-0.213,100.160004,5.02078,51.375
1/24/2017,11.07,29.59,27.5,136.15,-0.23,-0.213,100.349998,5.02078,76.365
1/25/2017,10.81,30.41,5.35,175.14,-0.23,-0.213,100.029999,5.02078,84.69
1/26/2017,10.63,29.59,19.13,89.25,-0.23,-0.213,100.379997,5.02078,81.705
1/27/2017,10.58,29.780001,24.45,135.05,-0.23,-0.3338,100.529999,5.02078,71.925
1/30/2017,11.88,30.940001,17.26,115.06,-0.23,-0.3338,100.43,5.02078,84.975
1/31/2017,11.99,31.33,15.24,139.29,0.21,-0.3338,99.510002,5.02078,83.565
2/1/2017,11.81,30.65,27.34,158.28,0.21,-0.3338,99.639999,5.62072,102.555
2/2/2017,11.93,29.389999,9.94,113.53,0.21,-0.3338,99.849998,5.62072,79.92
2/3/2017,10.97,28.110001,18.8,131.28,0.21,-0.2524,99.870003,5.62072,82.56
2/6/2017,11.37,29.370001,35.2,150.83,0.21,-0.2524,99.910004,5.62072,81.63
2/7/2017,11.29,29.610001,13.9,121.82,0.21,-0.2524,100.260002,5.62072,58.83
2/8/2017,11.45,29.09,5.48,118.99,0.21,-0.2524,100.279999,5.62072,45.75
2/9/2017,10.88,28.25,25.02,74.34,0.21,-0.2524,100.650002,5.62072,45.75
2/10/2017,10.85,26.43,12.65,231.24,0.21,-0.2467,100.800003,5.62072,45.75
2/13/2017,11.07,26.99,9.29,77.85,0.21,-0.2467,100.959999,5.62072,45.75
2/14/2017,10.74,27.49,34.3,120.2,0.21,-0.2467,101.25,5.62072,45.75
2/15/2017,11.97,27.75,11.02,130.16,0.21,-0.2467,101.18,5.62072,45.75
2/16/2017,11.76,27.370001,5.08,89.07,0.21,-0.2467,100.440002,5.62072,45.75
2/17/2017,11.49,25.290001,100.31,143.29,0.21,-0.4445,100.949997,5.62072,45.75
2/21/2017,11.57,25.790001,27.86,87.54,0.21,-0.4445,101.370003,5.62072,45.75
2/22/2017,11.74,27.09,58.98,226.71,0.21,-0.4445,101.330002,5.62072,45.75
2/23/2017,11.71,25.790001,4.94,84.74,0.21,-0.4445,101.050003,5.62072,45.75
2/24/2017,11.47,25.719999,6.19,99,0.21,-0.2933,101.089996,5.62072,45.75
2/27/2017,12.09,25.01,18.13,117.37,0.21,-0.2933,101.129997,5.62072,45.75
2/28/2017,12.92,25.459999,20.93,114.25,0.23,-0.2933,101.120003,5.62072,45.75
3/1/2017,12.54,24.67,16.02,111.9,0.23,-0.2933,101.779999,4.8824,45.75
3/2/2017,11.81,25.940001,15.18,125.27,0.23,-0.2933,102.199997,4.8824,45.75
3/3/2017,10.96,25.59,23.94,88.91,0.23,-0.5077,101.540001,4.8824,45.75
3/6/2017,11.24,26.959999,9.44,104.29,0.23,-0.5077,101.639999,4.8824,9.555
3/7/2017,11.45,26.459999,20.76,71.17,0.23,-0.5077,101.809998,4.8824,46.17
3/8/2017,11.86,31.74,16.34,124.51,0.23,-0.5077,102.07,4.8824,25.725
3/9/2017,12.3,31.98,21.77,95.37,0.23,-0.5077,101.849998,4.8824,39.015
3/10/2017,11.66,33.450001,5.95,81.65,0.23,-0.5367,101.25,4.8824,60.615
3/13/2017,11.35,32.389999,8.24,56.5,0.23,-0.5367,101.379997,4.8824,36.795
3/14/2017,12.3,33.189999,99.89,122.3,0.23,-0.5367,101.699997,4.8824,34.545
3/15/2017,11.63,30.08,15.9,159.48,0.23,-0.5367,100.739998,4.8824,38.205
3/16/2017,11.21,28.629999,20.87,91.44,0.23,-0.5367,100.269997,4.8824,29.715
3/17/2017,11.28,27.450001,6.33,152.01,0.23,-0.4504,100.300003,4.8824,37.785
3/20/2017,11.34,28.110001,101.07,161.69,0.23,-0.4504,100.410004,4.8824,78.69
3/21/2017,12.47,30.57,21.68,184.47,0.23,-0.4504,99.809998,4.8824,102.03
3/22/2017,12.81,30.049999,5.4,65.8,0.23,-0.4504,99.68,4.8824,56.535
3/23/2017,13.12,29.790001,10.65,48.67,0.23,-0.4504,99.760002,4.8824,51.375
3/24/2017,12.96,30.99,12.99,106.37,0.23,-0.2389,99.629997,4.8824,76.365
3/27/2017,12.5,30.780001,8.73,83.12,0.23,-0.2389,99.169998,4.8824,84.69
3/28/2017,11.53,29.92,6.73,89.73,0.23,-0.2389,99.709999,4.8824,81.705
3/29/2017,11.42,28.540001,10.29,66.64,0.23,-0.2389,100,4.8824,71.925
3/30/2017,11.54,27.82,5.11,91.55,0.23,-0.2389,100.410004,4.8824,84.975
