DATE,CPIAUCSL_PC1
1/1/2017,2.51039
2/1/2017,2.81036
3/1/2017,2.4412
4/1/2017,2.17622
5/1/2017,1.85634
6/1/2017,1.64057
7/1/2017,1.72511
8/1/2017,1.92812
9/1/2017,2.18057
10/1/2017,2.02076
11/1/2017,2.17249
12/1/2017,2.12993
1/1/2018,2.1037
2/1/2018,2.22658
3/1/2018,2.33259
4/1/2018,2.43783
5/1/2018,2.77659
6/1/2018,2.84851
7/1/2018,2.89875
8/1/2018,2.678
9/1/2018,2.35518
10/1/2018,2.52852
11/1/2018,2.17281
12/1/2018,1.91522
1/1/2019,1.49833
2/1/2019,1.48172
3/1/2019,1.87995
4/1/2019,2.00563
5/1/2019,1.81275
6/1/2019,1.68964
7/1/2019,1.82116
8/1/2019,1.75969
9/1/2019,1.72733
10/1/2019,1.75708
11/1/2019,2.03082
12/1/2019,2.26172
1/1/2020,2.46049
2/1/2020,2.31971
3/1/2020,1.53064
4/1/2020,0.36486
5/1/2020,0.24244
6/1/2020,0.72681
7/1/2020,1.03283
8/1/2020,1.32759
9/1/2020,1.40065
10/1/2020,1.1842
11/1/2020,1.13776
12/1/2020,1.27815
1/1/2021,1.35997
2/1/2021,1.67524
3/1/2021,2.65838
4/1/2021,4.15199
5/1/2021,4.94444
6/1/2021,5.34102
7/1/2021,5.2761
8/1/2021,5.20533
9/1/2021,5.38991
10/1/2021,6.23694
11/1/2021,6.82837
12/1/2021,7.09654
1/1/2022,7.52593
2/1/2022,7.91202
3/1/2022,8.55759
4/1/2022,8.22414
5/1/2022,8.51641
6/1/2022,8.99522
7/1/2022,8.48213
