QUOTE_READTIME,VIX,VVIX,T5YIE,T10YIE,DFII10,OVX,WLEMUINDXD,INFECTDISEMVTRACKD,USEPUINDXD,DFF,GSCPI,BAMLH0A0HYM2,CPIAUCSL_PC1,ICSA,SPCBDMI,SPX_Vol,STLFSI3,USD_Index,USD_EUR,USD_RUB
2017-01-03,12.85,92.389999,1.86,1.98,0.47,32.880001,24.4,0.48,89.85,0.66,-0.23,4.13,2.51039,245000.0,100.0,1279776,-0.1432,103.209999,1.046003,61.228298
2017-01-04,11.85,92.389999,1.86,1.99,0.47,32.360001,17.46,0.0,101.99,0.66,-0.23,4.02,2.51039,245000.0,100.0,1054704,-0.1432,102.699997,1.041992,60.923
2017-01-05,11.67,92.389999,1.83,1.95,0.42,31.559999,84.05,0.0,134.47,0.66,-0.23,4.04,2.51039,245000.0,100.0,912949,-0.1432,101.519997,1.050089,60.365002
2017-01-06,11.32,92.389999,1.84,1.96,0.46,30.469999,7.07,0.0,96.97,0.66,-0.23,3.98,2.51039,245000.0,100.0,1279251,-0.1629,102.220001,1.060592,59.401199
2017-01-09,11.56,92.389999,1.85,1.95,0.43,33.73,45.66,0.0,121.76,0.66,-0.23,4.02,2.51039,245000.0,100.0,866977,-0.1629,101.93,1.053186,59.564999
2017-01-10,11.49,92.389999,1.84,1.95,0.43,33.610001,21.34,1.67,121.9,0.66,-0.23,4.0,2.51039,245000.0,100.0,853557,-0.1629,102.010002,1.058862,60.102501
2017-01-11,11.26,92.389999,1.85,1.99,0.39,32.950001,45.1,0.66,124.56,0.66,-0.23,4.03,2.51039,245000.0,100.0,1041476,-0.1629,101.779999,1.055242,60.139999
2017-01-12,11.54,92.389999,1.87,1.98,0.38,32.369999,5.31,0.0,113.32,0.66,-0.23,4.05,2.51039,245000.0,100.0,1094025,-0.1629,101.349998,1.059771,59.778099
2017-01-13,11.23,92.389999,1.85,1.99,0.41,30.73,127.1,0.37,135.56,0.66,-0.23,4.02,2.51039,245000.0,100.0,1142282,-0.1972,101.18,1.061684,59.432499
2017-01-17,11.87,92.389999,1.84,1.97,0.36,31.25,145.98,0.45,160.96,0.66,-0.23,4.06,2.51039,240000.0,100.0,1170959,-0.1972,100.330002,1.060299,59.782001
2017-01-18,12.48,87.059998,1.86,2.0,0.42,31.24,16.18,0.63,135.59,0.66,-0.23,4.01,2.51039,240000.0,100.0,1430564,-0.1972,100.93,1.069679,59.330002
2017-01-19,12.78,86.839996,1.9,2.04,0.43,30.879999,5.23,0.31,95.56,0.66,-0.23,3.99,2.51039,240000.0,100.0,1089426,-0.1972,101.150002,1.062778,59.523201
2017-01-20,11.54,83.629997,1.92,2.04,0.44,29.190001,53.09,0.0,141.55,0.66,-0.23,4.02,2.51039,240000.0,100.0,1132397,-0.213,100.739998,1.065973,59.66
