release_date,Average Daily Compound Score,Average Daily Compound Score ex 0s,Sum Composite Score,VIX,VIX x .01,VIX x .001
1/1/2017,-0.04,-0.064,-0.644,12.85,0.1285,0.01285
1/2/2017,0.024,0.045,0.357,12.85,0.1285,0.01285
1/3/2017,0.012,0.022,0.463,12.85,0.1285,0.01285
1/4/2017,0.029,0.063,1.58,11.85,0.1185,0.01185
1/5/2017,-0.027,-0.049,-1.633,11.67,0.1167,0.01167
1/6/2017,0.032,0.053,1.424,11.32,0.1132,0.01132
1/7/2017,0.109,0.382,0.764,11.32,0.1132,0.01132
1/8/2017,0.034,0.041,0.572,11.32,0.1132,0.01132
1/9/2017,-0.019,-0.033,-0.99,11.56,0.1156,0.01156
1/10/2017,-0.005,-0.008,-0.321,11.49,0.1149,0.01149
1/11/2017,-0.013,-0.024,-0.756,11.26,0.1126,0.01126
1/12/2017,-0.018,-0.027,-1.316,11.54,0.1154,0.01154
1/13/2017,0.073,0.125,4.39,11.23,0.1123,0.01123
1/14/2017,-0.034,-0.103,-0.103,11.23,0.1123,0.01123
1/15/2017,0.076,0.103,2.056,11.23,0.1123,0.01123
1/16/2017,0.055,0.086,1.974,11.23,0.1123,0.01123
1/17/2017,-0.026,-0.046,-2.05,11.87,0.1187,0.01187
1/18/2017,-0.006,-0.01,-0.518,12.48,0.1248,0.01248
1/19/2017,0.039,0.052,2.945,12.78,0.1278,0.01278
1/20/2017,-0.001,-0.002,-0.053,11.54,0.1154,0.01154
1/21/2017,0.09,0.181,0.542,11.54,0.1154,0.01154
1/22/2017,-0.017,-0.048,-0.288,11.54,0.1154,0.01154
1/23/2017,0.013,0.024,0.953,11.77,0.1177,0.01177
1/24/2017,0.057,0.109,4.566,11.07,0.1107,0.01107
1/25/2017,0.029,0.049,2.103,10.81,0.1081,0.01081
1/26/2017,0.043,0.092,2.944,10.63,0.1063,0.01063
1/27/2017,-0.024,-0.035,-1.488,10.58,0.1058,0.01058
1/28/2017,-0.012,-0.014,-0.07,10.58,0.1058,0.01058
1/29/2017,-0.007,-0.016,-0.128,10.58,0.1058,0.01058
1/30/2017,-0.113,-0.208,-6.23,11.88,0.1188,0.01188
1/31/2017,-0.017,-0.026,-1.298,11.99,0.1199,0.01199
2/1/2017,0.019,0.036,1.463,11.81,0.1181,0.01181
2/2/2017,0.052,0.089,2.773,11.93,0.1193,0.01193
2/3/2017,0.05,0.096,3.179,10.97,0.1097,0.01097
2/4/2017,0.128,0.16,0.638,10.97,0.1097,0.01097
2/5/2017,0.064,0.164,1.476,10.97,0.1097,0.01097
2/6/2017,0.045,0.079,2.591,11.37,0.1137,0.01137
2/7/2017,-0.063,-0.12,-3.828,11.29,0.1129,0.01129
2/8/2017,0.059,0.121,2.655,11.45,0.1145,0.01145
2/9/2017,0.054,0.109,3.263,10.88,0.1088,0.01088
2/10/2017,0.1,0.156,3.898,10.85,0.1085,0.01085
2/11/2017,0.019,0.066,0.133,10.85,0.1085,0.01085
2/12/2017,0.045,0.089,1.07,10.85,0.1085,0.01085
2/13/2017,0.019,0.04,0.638,11.07,0.1107,0.01107
2/14/2017,0.027,0.064,1.969,10.74,0.1074,0.01074
2/15/2017,0.063,0.127,3.944,11.97,0.1197,0.01197
2/16/2017,0.031,0.054,1.729,11.76,0.1176,0.01176
2/17/2017,0.048,0.062,2.06,11.49,0.1149,0.01149
2/18/2017,0.028,0.065,0.195,11.49,0.1149,0.01149
2/19/2017,0.051,0.097,1.168,11.49,0.1149,0.01149
2/20/2017,-0.02,-0.033,-0.635,11.49,0.1149,0.01149
2/21/2017,0.014,0.031,1.105,11.57,0.1157,0.01157
2/22/2017,0.02,0.041,1.284,11.74,0.1174,0.01174
2/23/2017,0.095,0.209,6.07,11.71,0.1171,0.01171
2/24/2017,0.021,0.036,0.944,11.47,0.1147,0.01147
2/25/2017,0.089,0.177,0.709,11.47,0.1147,0.01147
2/26/2017,0.092,0.196,4.508,11.47,0.1147,0.01147
2/27/2017,0.043,0.084,2.772,12.09,0.1209,0.01209
2/28/2017,-0.017,-0.027,-1.475,12.92,0.1292,0.01292
3/1/2017,0.031,0.055,2.199,12.54,0.1254,0.01254
3/2/2017,0.048,0.086,3.429,11.81,0.1181,0.01181
3/3/2017,0.07,0.164,2.945,10.96,0.1096,0.01096
3/4/2017,-0.021,-0.032,-0.064,10.96,0.1096,0.01096
3/5/2017,0.099,0.185,2.96,10.96,0.1096,0.01096
3/6/2017,-0.008,-0.013,-0.496,11.24,0.1124,0.01124
3/7/2017,-0.057,-0.105,-3.475,11.45,0.1145,0.01145
3/8/2017,-0.035,-0.076,-1.984,11.86,0.1186,0.01186
3/9/2017,0.004,0.007,0.282,12.3,0.123,0.0123
3/10/2017,0.097,0.18,3.966,11.66,0.1166,0.01166
3/11/2017,-0.206,-0.247,-1.237,11.66,0.1166,0.01166
3/12/2017,0.171,0.268,1.878,11.66,0.1166,0.01166
3/13/2017,0.015,0.031,0.629,11.35,0.1135,0.01135
3/14/2017,0.003,0.004,0.158,12.3,0.123,0.0123
3/15/2017,0.049,0.087,2.946,11.63,0.1163,0.01163
3/16/2017,0.109,0.184,6.636,11.21,0.1121,0.01121
3/17/2017,0.041,0.077,2.076,11.28,0.1128,0.01128
3/18/2017,0.022,0.037,0.11,11.28,0.1128,0.01128
3/19/2017,0.084,0.205,1.432,11.28,0.1128,0.01128
3/20/2017,-0.095,-0.195,-3.908,11.34,0.1134,0.01134
3/21/2017,0.038,0.061,2.944,12.47,0.1247,0.01247
3/22/2017,-0.031,-0.054,-2.266,12.81,0.1281,0.01281
3/23/2017,-0.069,-0.116,-4.4,13.12,0.1312,0.01312
3/24/2017,0.018,0.035,0.637,12.96,0.1296,0.01296
3/25/2017,0.008,0.013,0.025,12.96,0.1296,0.01296
3/26/2017,-0.037,-0.084,-0.588,12.96,0.1296,0.01296
3/27/2017,0.052,0.079,2.681,12.5,0.125,0.0125
3/28/2017,0.004,0.007,0.244,11.53,0.1153,0.01153
3/29/2017,0.062,0.108,3.033,11.42,0.1142,0.01142
3/30/2017,0.039,0.064,2.861,11.54,0.1154,0.01154
3/31/2017,-0.003,-0.005,-0.105,12.37,0.1237,0.01237
4/1/2017,-0.129,-0.129,-0.517,12.37,0.1237,0.01237
4/2/2017,0.112,0.178,6.929,12.37,0.1237,0.01237
4/3/2017,0.024,0.045,2.173,12.38,0.1238,0.01238
4/4/2017,0.012,0.021,1.064,11.79,0.1179,0.01179
4/5/2017,-0.009,-0.016,-0.701,12.89,0.1289,0.01289
4/6/2017,0.032,0.06,3.237,12.39,0.1239,0.01239
4/7/2017,0.026,0.046,1.915,12.87,0.1287,0.01287
4/8/2017,-0.225,-0.337,-0.674,12.87,0.1287,0.01287
4/9/2017,0.079,0.138,5.115,12.87,0.1287,0.01287
4/10/2017,0.133,0.243,23.331,14.05,0.1405,0.01405
4/11/2017,0.14,0.24,22.051,15.07,0.1507,0.01507
4/12/2017,0.073,0.13,11.853,15.77,0.1577,0.01577
4/13/2017,0.011,0.017,1.286,15.96,0.1596,0.01596
4/14/2017,0.035,0.068,1.163,15.96,0.1596,0.01596
4/15/2017,0.091,0.273,0.273,15.96,0.1596,0.01596
4/16/2017,0.167,0.288,11.825,15.96,0.1596,0.01596
4/17/2017,0.079,0.162,12.297,14.66,0.1466,0.01466
4/18/2017,0.058,0.109,11.977,14.42,0.1442,0.01442
4/19/2017,0.066,0.129,13.688,14.93,0.1493,0.01493
4/20/2017,0.071,0.145,15.334,14.15,0.1415,0.01415
4/21/2017,0.039,0.088,4.379,14.63,0.1463,0.01463
4/22/2017,-0.169,-0.253,-1.012,14.63,0.1463,0.01463
4/23/2017,0.104,0.301,10.818,14.63,0.1463,0.01463
4/24/2017,0.075,0.169,16.561,10.84,0.1084,0.01084
4/25/2017,0.088,0.178,22.746,10.76,0.1076,0.01076
4/26/2017,0.054,0.104,13.673,10.85,0.1085,0.01085
4/27/2017,0.067,0.118,15.032,10.36,0.1036,0.01036
4/28/2017,0.065,0.117,9.241,10.82,0.1082,0.01082
4/29/2017,-0.236,-0.354,-0.709,10.82,0.1082,0.01082
4/30/2017,0.098,0.225,9.677,10.82,0.1082,0.01082
5/1/2017,0.023,0.041,3.505,10.11,0.1011,0.01011
5/2/2017,0.024,0.044,4.112,10.59,0.1059,0.01059
5/3/2017,0.016,0.026,3.214,10.68,0.1068,0.01068
5/4/2017,0.027,0.05,5.605,10.46,0.1046,0.01046
5/5/2017,0.033,0.058,2.654,10.57,0.1057,0.01057
5/6/2017,0.05,0.109,0.546,10.57,0.1057,0.01057
5/7/2017,0.079,0.145,6.68,10.57,0.1057,0.01057
5/8/2017,0.013,0.024,2.192,9.77,0.0977,0.00977
5/9/2017,0.066,0.13,12.475,9.96,0.0996,0.00996
5/10/2017,0.08,0.129,17.316,10.21,0.1021,0.01021
5/11/2017,-0.002,-0.003,-0.242,10.6,0.106,0.0106
5/12/2017,0.021,0.039,2.745,10.4,0.104,0.0104
5/13/2017,-0.077,-0.116,-0.463,10.4,0.104,0.0104
5/14/2017,0.076,0.141,6.062,10.4,0.104,0.0104
5/15/2017,0.079,0.162,14.86,10.42,0.1042,0.01042
5/16/2017,0.058,0.101,10.225,10.65,0.1065,0.01065
5/17/2017,0.013,0.022,2.51,15.59,0.1559,0.01559
5/18/2017,0.019,0.034,3.217,14.66,0.1466,0.01466
5/19/2017,-0.002,-0.004,-0.176,12.04,0.1204,0.01204
5/20/2017,0.073,0.146,1.021,12.04,0.1204,0.01204
5/21/2017,0.128,0.247,3.955,12.04,0.1204,0.01204
5/22/2017,0.115,0.223,19.817,10.93,0.1093,0.01093
5/23/2017,0.102,0.178,19.704,10.72,0.1072,0.01072
5/24/2017,0.08,0.132,11.203,10.02,0.1002,0.01002
5/25/2017,0.051,0.077,8.046,9.99,0.0999,0.00999
5/26/2017,0.068,0.128,5.248,9.81,0.0981,0.00981
5/27/2017,0.108,0.216,1.078,9.81,0.0981,0.00981
5/28/2017,0.048,0.085,1.195,9.81,0.0981,0.00981
5/29/2017,0.144,0.221,17.045,9.81,0.0981,0.00981
5/30/2017,0.093,0.159,18.316,10.38,0.1038,0.01038
5/31/2017,0.089,0.153,18.794,10.41,0.1041,0.01041
6/1/2017,0.09,0.178,16.043,9.89,0.0989,0.00989
6/2/2017,0.069,0.135,7.001,9.75,0.0975,0.00975
6/3/2017,0.246,0.308,1.232,9.75,0.0975,0.00975
6/4/2017,0.115,0.176,9.518,9.75,0.0975,0.00975
6/5/2017,0.085,0.165,15.012,10.07,0.1007,0.01007
6/6/2017,0.063,0.112,10.733,10.45,0.1045,0.01045
