QUOTE_READTIME,QUOTE_DATE,VIX
1/3/2017 9:30,1/3/2017,13.95
1/3/2017 10:00,1/3/2017,13.51
1/3/2017 10:30,1/3/2017,13.24
1/3/2017 11:00,1/3/2017,13.35
1/3/2017 11:30,1/3/2017,13.43
1/3/2017 12:00,1/3/2017,13.57
1/3/2017 12:30,1/3/2017,13.49
1/3/2017 13:00,1/3/2017,13.53
1/3/2017 13:30,1/3/2017,13.47
1/3/2017 14:00,1/3/2017,13.49
1/3/2017 14:30,1/3/2017,13.47
1/3/2017 15:00,1/3/2017,13.32
1/3/2017 15:30,1/3/2017,13.28
1/3/2017 16:00,1/3/2017,13
1/4/2017 9:30,1/4/2017,12.66
1/4/2017 10:00,1/4/2017,12.35
1/4/2017 10:30,1/4/2017,12.18
1/4/2017 11:00,1/4/2017,12.22
1/4/2017 11:30,1/4/2017,12.09
1/4/2017 12:00,1/4/2017,12.06
1/4/2017 12:30,1/4/2017,12.16
1/4/2017 13:00,1/4/2017,12.22
1/4/2017 13:30,1/4/2017,12.22
1/4/2017 14:00,1/4/2017,11.73
1/4/2017 14:30,1/4/2017,11.93
1/4/2017 15:00,1/4/2017,11.95
1/4/2017 15:30,1/4/2017,11.79
1/4/2017 16:00,1/4/2017,11.91
1/5/2017 9:30,1/5/2017,11.97
1/5/2017 10:00,1/5/2017,11.68
1/5/2017 10:30,1/5/2017,11.61
1/5/2017 11:00,1/5/2017,11.4
1/5/2017 11:30,1/5/2017,11.82
1/5/2017 12:00,1/5/2017,12.03
1/5/2017 12:30,1/5/2017,11.88
1/5/2017 13:00,1/5/2017,11.88
1/5/2017 13:30,1/5/2017,11.74
1/5/2017 14:00,1/5/2017,11.78
1/5/2017 14:30,1/5/2017,11.68
1/5/2017 15:00,1/5/2017,11.93
1/5/2017 15:30,1/5/2017,11.8
1/5/2017 16:00,1/5/2017,11.7
1/6/2017 9:30,1/6/2017,11.34
1/6/2017 10:00,1/6/2017,11.34
1/6/2017 10:30,1/6/2017,11.28
1/6/2017 11:00,1/6/2017,11.24
1/6/2017 11:30,1/6/2017,11.08
1/6/2017 12:00,1/6/2017,11.24
1/6/2017 12:30,1/6/2017,11.1
1/6/2017 13:00,1/6/2017,11.16
1/6/2017 13:30,1/6/2017,11.29
1/6/2017 14:00,1/6/2017,11.28
1/6/2017 14:30,1/6/2017,11.42
1/6/2017 15:00,1/6/2017,11.5
1/6/2017 15:30,1/6/2017,11.46
1/6/2017 16:00,1/6/2017,11.4
1/9/2017 9:30,1/9/2017,11.89
1/9/2017 10:00,1/9/2017,11.95
1/9/2017 10:30,1/9/2017,11.86
1/9/2017 11:00,1/9/2017,11.62
1/9/2017 11:30,1/9/2017,11.56
1/9/2017 12:00,1/9/2017,11.61
1/9/2017 12:30,1/9/2017,11.59
1/9/2017 13:00,1/9/2017,11.5
1/9/2017 13:30,1/9/2017,11.51
1/9/2017 14:00,1/9/2017,11.53
1/9/2017 14:30,1/9/2017,11.57
1/9/2017 15:00,1/9/2017,11.64
1/9/2017 15:30,1/9/2017,11.53
1/9/2017 16:00,1/9/2017,11.61
1/10/2017 9:30,1/10/2017,11.52
