QUOTE_READTIME,VIX
2017-01-03 09:30:00,13.95
2017-01-03 10:00:00,13.51
2017-01-03 10:30:00,13.24
2017-01-03 11:00:00,13.35
2017-01-03 11:30:00,13.43
2017-01-03 12:00:00,13.57
2017-01-03 12:30:00,13.49
2017-01-03 13:00:00,13.53
2017-01-03 13:30:00,13.47
2017-01-03 14:00:00,13.49
2017-01-03 14:30:00,13.47
2017-01-03 15:00:00,13.32
2017-01-03 15:30:00,13.28
2017-01-03 16:00:00,13.0
2017-01-04 09:30:00,12.66
2017-01-04 10:00:00,12.35
2017-01-04 10:30:00,12.18
2017-01-04 11:00:00,12.22
2017-01-04 11:30:00,12.09
2017-01-04 12:00:00,12.06
2017-01-04 12:30:00,12.16
2017-01-04 13:00:00,12.22
2017-01-04 13:30:00,12.22
2017-01-04 14:00:00,11.73
2017-01-04 14:30:00,11.93
2017-01-04 15:00:00,11.95
2017-01-04 15:30:00,11.79
2017-01-04 16:00:00,11.91
2017-01-05 09:30:00,11.97
2017-01-05 10:00:00,11.68
2017-01-05 10:30:00,11.61
2017-01-05 11:00:00,11.4
2017-01-05 11:30:00,11.82
2017-01-05 12:00:00,12.03
2017-01-05 12:30:00,11.88
2017-01-05 13:00:00,11.88
2017-01-05 13:30:00,11.74
2017-01-05 14:00:00,11.78
2017-01-05 14:30:00,11.68
2017-01-05 15:00:00,11.93
2017-01-05 15:30:00,11.8
2017-01-05 16:00:00,11.7
2017-01-06 09:30:00,11.34
2017-01-06 10:00:00,11.34
2017-01-06 10:30:00,11.28
2017-01-06 11:00:00,11.24
2017-01-06 11:30:00,11.08
2017-01-06 12:00:00,11.24
2017-01-06 12:30:00,11.1
2017-01-06 13:00:00,11.16
2017-01-06 13:30:00,11.29
2017-01-06 14:00:00,11.28
2017-01-06 14:30:00,11.42
2017-01-06 15:00:00,11.5
2017-01-06 15:30:00,11.46
2017-01-06 16:00:00,11.4
2017-01-09 09:30:00,11.89
2017-01-09 10:00:00,11.95
2017-01-09 10:30:00,11.86
2017-01-09 11:00:00,11.62
2017-01-09 11:30:00,11.56
2017-01-09 12:00:00,11.61
2017-01-09 12:30:00,11.59
2017-01-09 13:00:00,11.5
2017-01-09 13:30:00,11.51
2017-01-09 14:00:00,11.53
2017-01-09 14:30:00,11.57
2017-01-09 15:00:00,11.64
2017-01-09 15:30:00,11.53
2017-01-09 16:00:00,11.61
2017-01-10 09:30:00,11.52
2017-01-10 10:00:00,11.67
2017-01-10 10:30:00,11.73
2017-01-10 11:00:00,11.48
2017-01-10 11:30:00,11.39
2017-01-10 12:00:00,11.45
2017-01-10 12:30:00,11.48
2017-01-10 13:00:00,11.6
2017-01-10 13:30:00,11.62
2017-01-10 14:00:00,11.7
2017-01-10 14:30:00,11.73
2017-01-10 15:00:00,11.69
2017-01-10 15:30:00,11.56
2017-01-10 16:00:00,11.58
2017-01-11 09:30:00,11.62
2017-01-11 10:00:00,11.59
2017-01-11 10:30:00,11.79
2017-01-11 11:00:00,11.92
2017-01-11 11:30:00,11.95
2017-01-11 12:00:00,11.67
2017-01-11 12:30:00,11.75
2017-01-11 13:00:00,11.92
2017-01-11 13:30:00,12.03
2017-01-11 14:00:00,11.84
2017-01-11 14:30:00,11.57
2017-01-11 15:00:00,11.47
2017-01-11 15:30:00,11.41
2017-01-11 16:00:00,11.26
