Date,VIX,VVIX
2017-01-17,11.87,92.389999
2017-01-18,12.48,87.059998
2017-01-19,12.78,86.839996
2017-01-20,11.54,83.629997
2017-01-23,11.77,84.510002
2017-01-24,11.07,79.050003
2017-01-25,10.81,78.660004
2017-01-26,10.63,79.650002
2017-01-27,10.58,83.629997
2017-01-30,11.88,92.040001
2017-01-31,11.99,89.830002
2017-02-01,11.81,87.75
2017-02-02,11.93,89.730003
2017-02-03,10.97,88.970001
2017-02-06,11.37,90.019997
2017-02-07,11.29,89.610001
2017-02-08,11.45,94.580002
2017-02-09,10.88,89.589996
2017-02-10,10.85,85.769997
2017-02-13,11.07,80.839996
2017-02-14,10.74,78.349998
2017-02-15,11.97,81.120003
2017-02-16,11.76,79.660004
2017-02-17,11.49,81.25
2017-02-21,11.57,82.449997
2017-02-22,11.74,81.529999
2017-02-23,11.71,82.199997
2017-02-24,11.47,83.309998
2017-02-27,12.09,85.690002
2017-02-28,12.92,88.080002
2017-03-01,12.54,84.029999
2017-03-02,11.81,83.610001
2017-03-03,10.96,81.190002
2017-03-06,11.24,81.440002
2017-03-07,11.45,81.43
2017-03-08,11.86,82.5
2017-03-09,12.3,83.639999
2017-03-10,11.66,80.269997
2017-03-13,11.35,81.57
2017-03-14,12.3,85.879997
2017-03-15,11.63,80.760002
2017-03-16,11.21,75.959999
2017-03-17,11.28,78.660004
2017-03-20,11.34,77.160004
2017-03-21,12.47,83.019997
2017-03-22,12.81,83.800003
2017-03-23,13.12,88.93
2017-03-24,12.96,89.739998
2017-03-27,12.5,84.860001
2017-03-28,11.53,79.269997
2017-03-29,11.42,78.260002
2017-03-30,11.54,77.870003
2017-03-31,12.37,78.309998
2017-04-03,12.38,82.959999
2017-04-04,11.79,79.669998
2017-04-05,12.89,86.589996
2017-04-06,12.39,83.910004
2017-04-07,12.87,89.389999
2017-04-10,14.05,97.900002
2017-04-11,15.07,103.739998
2017-04-12,15.77,111.529999
2017-04-13,15.96,115.540001
2017-04-17,14.66,101.489998
2017-04-18,14.42,99.519997
2017-04-19,14.93,97.889999
2017-04-20,14.15,94.529999
2017-04-21,14.63,95.410004
2017-04-24,10.84,78.169998
2017-04-25,10.76,75.639999
2017-04-26,10.85,76.639999
2017-04-27,10.36,76.660004
2017-04-28,10.82,77.089996
2017-05-01,10.11,78.330002
2017-05-02,10.59,79.330002
2017-05-03,10.68,78.769997
2017-05-04,10.46,78.0
2017-05-05,10.57,80.650002
2017-05-08,9.77,81.379997
2017-05-09,9.96,83.629997
2017-05-10,10.21,87.489998
2017-05-11,10.6,86.510002
2017-05-12,10.4,82.5
2017-05-15,10.42,79.529999
2017-05-16,10.65,76.760002
2017-05-17,15.59,111.480003
2017-05-18,14.66,104.120003
